"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"02/04/2024","15.895,0","15.947,5","15.965,0","15.897,0","","0,06%"
"01/04/2024","15.885,0","15.875,0","15.920,0","15.872,5","","0,03%"
"29/03/2024","15.880,0","15.891,0","15.909,3","15.858,5","","0,19%"
"28/03/2024","15.850,0","15.880,0","15.894,0","15.855,0","","0,00%"
"27/03/2024","15.850,0","15.830,0","15.865,0","15.818,5","","0,41%"
"26/03/2024","15.785,0","15.800,0","15.810,0","15.780,0","","-0,06%"
"25/03/2024","15.795,0","15.785,0","15.808,5","15.775,0","","0,13%"
"22/03/2024","15.775,0","15.730,0","15.790,0","15.722,5","","0,77%"
"21/03/2024","15.655,0","15.665,0","15.680,0","15.647,0","","-0,35%"
"20/03/2024","15.710,0","15.722,5","15.742,5","15.708,5","","0,00%"
"19/03/2024","15.710,0","15.720,0","15.735,0","15.697,5","","0,16%"
"18/03/2024","15.685,0","15.625,0","15.698,0","15.622,5","","0,61%"
"15/03/2024","15.590,0","15.630,0","15.641,5","15.594,5","","0,10%"
"14/03/2024","15.575,0","15.580,0","15.589,5","15.569,5","","0,03%"
"13/03/2024","15.570,0","15.570,0","15.595,0","15.557,5","","0,06%"
"12/03/2024","15.561,0","15.526,5","15.563,0","15.470,9","","0,23%"
"11/03/2024","15.525,0","15.541,3","15.590,0","15.438,5","","-0,38%"
"08/03/2024","15.585,0","15.625,0","15.640,0","15.573,0","","-0,42%"
"07/03/2024","15.650,0","15.667,5","15.685,0","15.635,0","","-0,29%"
"06/03/2024","15.695,0","15.760,0","15.760,0","15.690,0","","-0,44%"
"05/03/2024","15.765,0","15.752,5","15.777,5","15.735,0","","0,19%"
"04/03/2024","15.735,0","15.705,0","15.740,0","15.704,5","","0,25%"
"01/03/2024","15.695,0","15.722,5","15.722,5","15.680,0","","-0,10%"
"29/02/2024","15.710,0","15.705,0","15.735,5","15.690,0","","0,19%"
"28/02/2024","15.680,0","15.645,0","15.692,0","15.645,0","","0,29%"
"27/02/2024","15.635,0","15.650,0","15.662,5","15.640,0","","0,06%"
"26/02/2024","15.625,0","15.622,5","15.642,5","15.619,0","","0,22%"
"23/02/2024","15.590,0","15.602,5","15.607,5","15.572,5","","0,03%"
"22/02/2024","15.585,0","15.640,0","15.659,5","15.589,5","","-0,29%"
"21/02/2024","15.630,0","15.670,0","15.685,0","15.635,0","","-0,16%"
"20/02/2024","15.655,0","15.640,0","15.669,0","15.637,5","","0,19%"
"19/02/2024","15.625,0","15.640,0","15.642,5","15.616,0","","0,06%"
"16/02/2024","15.615,0","15.655,0","15.677,5","15.620,0","","0,00%"
"15/02/2024","15.615,0","15.582,5","15.640,0","15.547,5","","-0,11%"
"14/02/2024","15.632,0","15.677,0","15.726,7","15.560,6","","0,27%"
"13/02/2024","15.590,0","15.590,0","15.614,0","15.565,0","","0,00%"
"12/02/2024","15.590,0","15.640,0","15.640,0","15.594,5","","-0,14%"
"09/02/2024","15.611,5","15.665,0","15.666,0","15.609,0","","-0,34%"
"08/02/2024","15.665,0","15.654,0","15.678,0","15.618,0","","0,22%"
"07/02/2024","15.630,0","15.722,5","15.727,5","15.615,0","","-0,60%"
"06/02/2024","15.725,0","15.752,5","15.757,5","15.722,5","","0,16%"
"05/02/2024","15.700,0","15.725,0","15.727,5","15.690,5","","0,29%"
"02/02/2024","15.655,0","15.755,0","15.755,0","15.644,0","","-0,67%"
"01/02/2024","15.760,0","15.787,5","15.802,5","15.757,5","","-0,10%"
"31/01/2024","15.775,0","15.802,5","15.818,0","15.778,0","","-0,01%"
"30/01/2024","15.777,0","15.800,0","15.816,0","15.775,0","","-0,18%"
"29/01/2024","15.805,0","15.812,5","15.833,0","15.807,5","","-0,06%"
"26/01/2024","15.815,0","15.837,5","15.847,5","15.810,0","","-0,03%"
"25/01/2024","15.820,0","15.710,0","15.835,0","15.705,0","","0,73%"
"24/01/2024","15.705,0","15.694,0","15.730,0","15.693,0","","0,51%"
"23/01/2024","15.625,0","15.660,0","15.677,5","15.630,0","","-0,03%"
"22/01/2024","15.630,0","15.607,5","15.640,0","15.607,5","","0,13%"
"19/01/2024","15.610,0","15.617,5","15.637,5","15.612,5","","-0,03%"
"18/01/2024","15.615,0","15.617,5","15.637,5","15.612,5","","-0,13%"
"17/01/2024","15.635,0","15.625,0","15.647,5","15.617,5","","0,32%"
"16/01/2024","15.585,0","15.572,5","15.598,5","15.570,0","","0,23%"
"15/01/2024","15.550,0","15.555,0","15.562,5","15.545,0","","0,03%"
"12/01/2024","15.545,0","15.562,5","15.575,0","15.542,5","","0,00%"
"11/01/2024","15.545,0","15.552,5","15.570,0","15.544,5","","-0,13%"
"10/01/2024","15.565,0","15.540,0","15.587,5","15.537,5","","0,32%"
"09/01/2024","15.515,0","15.529,0","15.531,0","15.504,5","","-0,03%"
"08/01/2024","15.520,0","15.500,0","15.533,5","15.500,0","","0,06%"
"05/01/2024","15.510,0","15.507,5","15.532,0","15.499,5","","0,16%"
"04/01/2024","15.485,0","15.535,0","15.552,5","15.490,0","","0,06%"
"03/01/2024","15.475,0","15.505,0","15.527,5","15.470,0","","0,06%"
"02/01/2024","15.465,0","15.430,0","15.482,5","15.430,0","","0,49%"
"01/01/2024","15.390,0","15.390,1","15.390,1","15.390,0","","-0,03%"
"29/12/2023","15.395,0","15.430,0","15.457,5","15.397,0","","-0,13%"
"28/12/2023","15.415,0","15.385,0","15.434,5","15.380,0","","-0,06%"
"27/12/2023","15.425,0","15.430,0","15.442,5","15.392,5","","0,12%"
"26/12/2023","15.407,0","15.467,0","15.467,0","15.405,0","","-0,39%"
"25/12/2023","15.467,0","15.466,8","15.467,0","15.466,8","","-0,08%"
"22/12/2023","15.480,0","15.490,0","15.505,0","15.475,0","","-0,26%"
